No.,Spec,feature,sub feature,sub feature,sub feature,test  describtion,,,,priority,level,coverage,testcase,,,,
,,,,,,"写入的tag内容为rand, set_idx=0~255，way_en_on=1/2/4/8",tag array可正常写,"io_write_valid,
io_write_bits_idx,
io_write_bits_way_en,
io_write_bits_tag","io_write_valid=1,
io_write_bits_idx=0~255,
io_write_bits_way_en=1/2/4/8,
io_write_bits_tag=rand",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,data  19,,,,,,,,,,,tc_dcache_ld_st_pb,,,,
,,,set_idx,,,,,,,,,,,,,,
,,,,,,读取data，set_idx=0~255,data array可正常读,"io_read*_valid,
io_read*_bits_addr[13:6],","io_read*_valid=1,
io_read*_bits_addr[13:6]=0~255,",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,写入data，set_idx=0~255,data array可正常写,"io_write_*_valid,
io_write_*_bits_addr[13:6],","io_write_*_valid=1,
io_write_*_bits_addr[13:6]=0~255,",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,bank_idx,,,,,,,,,,,,,,
,,,,,,读取data，bank_idx=0~7,data array可正常读,"io_read_*_valid,
io_read_*_bits_addr[5:3],","io_read_*_valid=1,
io_read_*_bits_addr[5:3]=0~7,",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,way_en_oh,,,,,,,,,,,,,,
,,,,,,读取data，way_en_on=1/2/4/8,data array可正常读,"io_read*_valid,
io_read*_bits_way_en,","io_read*_valid=1,
io_read*_bits_way_en=1/2/4/8,",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,写入data，way_en_on=1/2/4/8,data array可正常写,"io_write_*_valid,
io_write_*_bits_way_en,","io_write_*_valid=1,
io_write_*_bits_way_en=1/2/4/8,",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,,,,,,,,,,,,
,,,data内容,,,,,,,,,,,,,,
,,,,,,"读取的data内容为min，set_idx=0~255, bank_idx=0~7，way_en_on=1/2/4/8",data array可正常读,"io_read*_valid,
io_read*_bits_addr[13:6],
io_read_*_bits_addr[5:3],
io_read*_bits_way_en,
io_resp_*_data","io_read*_valid=1,
io_read*_bits_addr[13:6]=0~255,
io_read_*_bits_addr[5:3]=0~7,
io_read*_bits_way_en=1/2/4/8,
io_resp_*_data=min",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"写入的data内容为min，set_idx=0~255, way_en_on=1/2/4/8",data array可正常写,"io_write_*_valid,
io_write_*_bits_addr[13:6],
io_write_*_bits_way_en，
io_write_bits_data*","io_write_*_valid=1,
io_write_*_bits_addr[13:6]=0~255,
io_write_*_bits_way_en=1/2/4/8，
io_write_bits_data*=min",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"读取的data内容为max，set_idx=0~255, bank_idx=0~7，way_en_on=1/2/4/8",data array可正常读,"io_read*_valid,
io_read*_bits_addr[13:6],
io_read_*_bits_addr[5:3],
io_read*_bits_way_en,
io_resp_*_data","io_read*_valid=1,
io_read*_bits_addr[13:6]=0~255,
io_read_*_bits_addr[5:3]=0~7,
io_read*_bits_way_en=1/2/4/8,
io_resp_*_data=max",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"写入的data内容为max，set_idx=0~255, way_en_on=1/2/4/8",data array可正常写,"io_write_*_valid,
io_write_*_bits_addr[13:6],
io_write_*_bits_way_en，
io_write_bits_data*","io_write_*_valid=1,
io_write_*_bits_addr[13:6]=0~255,
io_write_*_bits_way_en=1/2/4/8，
io_write_bits_data*=max",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"读取的data内容为special，set_idx=0~255, bank_idx=0~7，way_en_on=1/2/4/8",data array可正常读,"io_read*_valid,
io_read*_bits_addr[13:6],
io_read_*_bits_addr[5:3],
io_read*_bits_way_en,
io_resp_*_data","io_read*_valid=1,
io_read*_bits_addr[13:6]=0~255,
io_read_*_bits_addr[5:3]=0~7,
io_read*_bits_way_en=1/2/4/8,
io_resp_*_data=max",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"写入的data内容为special，set_idx=0~255, way_en_on=1/2/4/8",data array可正常写,"io_write_*_valid,
io_write_*_bits_addr[13:6],
io_write_*_bits_way_en，
io_write_bits_data*","io_write_*_valid=1,
io_write_*_bits_addr[13:6]=0~255,
io_write_*_bits_way_en=1/2/4/8，
io_write_bits_data*=special",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"读取的data内容为rand，set_idx=0~255, bank_idx=0~7，way_en_on=1/2/4/8",data array可正常读,"io_read*_valid,
io_read*_bits_addr[13:6],
io_read_*_bits_addr[5:3],
io_read*_bits_way_en,
io_resp_*_data","io_read*_valid=1,
io_read*_bits_addr[13:6]=0~255,
io_read_*_bits_addr[5:3]=0~7,
io_read*_bits_way_en=1/2/4/8,
io_resp_*_data=rand",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"写入的data内容为rand，set_idx=0~255, way_en_on=1/2/4/8",data array可正常写,"io_write_*_valid,
io_write_*_bits_addr[13:6],
io_write_*_bits_way_en，
io_write_bits_data*","io_write_*_valid=1,
io_write_*_bits_addr[13:6]=0~255,
io_write_*_bits_way_en=1/2/4/8，
io_write_bits_data*=rand",,,array_read_write_gp,tc_dcache_load/tc_dcache_store,,,,
,,,读写冲突,,,,,,,,,,,,,,
,,,,,,loadpipe0和写入dataarray的操作发生读写冲突,写操作正常执行，loadpipe0读操作被replay,"io_lsu_load_0_valid,
io_write_*_valid","io_lsu_load_0_valid=1,
io_write_*_valid=1",,,array_read_write_gp,tc_dcache_ld_st_pb,,,,
,,,,,,loadpipe1和写入dataarray的操作发生读写冲突,写操作正常执行，loadpipe1读操作被replay,"io_lsu_load_0_valid,
io_write_*_valid","io_lsu_load_1_valid=1,
io_write_*_valid=1",,,array_read_write_gp,tc_dcache_ld_st_pb,,,,
,,,,,,loadpipe2和写入dataarray的操作发生读写冲突,写操作正常执行，loadpipe2读操作被replay,"io_lsu_load_0_valid,
io_write_*_valid","io_lsu_load_2_valid=1,
io_write_*_valid=1",,,array_read_write_gp,tc_dcache_ld_st_pb,,,,
,,,,,,loadpipe0和mainpipe的读操作发生冲突,mainpipe读操作正常执行，loadpipe0/1/2读操作被replay,"io_lsu_load_0_valid,
io_readline_valid","io_lsu_load_0_valid=1,
io_readline_valid=1",,,array_read_write_gp,tc_dcache_ld_st_pb,,,,
,,,,,,loadpipe1和mainpipe的读操作发生冲突,mainpipe读操作正常执行，loadpipe0/1/2读操作被replay,"io_lsu_load_0_valid,
io_readline_valid","io_lsu_load_1_valid=1,
io_readline_valid=1",,,array_read_write_gp,tc_dcache_ld_st_pb,,,,
,,,,,,loadpipe2和mainpipe的读操作发生冲突,mainpipe读操作正常执行，loadpipe0/1/2读操作被replay,"io_lsu_load_0_valid,
io_readline_valid","io_lsu_load_2_valid=1,
io_readline_valid=1",,,array_read_write_gp,tc_dcache_ld_st_pb,,,,
8,数据前递  30,,,,,,,,,,,,,,,,
,,LoadUnit0,,,,,,,,,,,tc_dcache_forward,,,,
,,,mshr_mshrid,,,,,,,,,,,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，mshrid遍历0~15。,Dcache向LoadUnit0回复匹配的数据,"io_lsu_forward_mshr_0_valid,
io_lsu_forward_mshr_0_mshrid,","io_lsu_forward_mshr_0_valid=1,
io_lsu_forward_mshr_0_mshrid=0-15,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，mshrid遍历0~15。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_0_valid,
io_lsu_forward_mshr_0_mshrid,","io_lsu_forward_mshr_0_valid=1,
io_lsu_forward_mshr_0_mshrid=0-15,",,,forward_req_gp,tc_dcache_forward,,,,
,,,mshr_paddr,,,,,,,,,,,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，paddr为max。,Dcache向LoadUnit0回复匹配的数据,"io_lsu_forward_mshr_0_valid,
io_lsu_forward_mshr_0_paddr,","io_lsu_forward_mshr_0_valid=1,
io_lsu_forward_mshr_0_paddr=max,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，paddr为max。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_0_valid,
io_lsu_forward_mshr_0_paddr,","io_lsu_forward_mshr_0_valid=1,
io_lsu_forward_mshr_0_paddr=max,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，paddr为min。,Dcache向LoadUnit0回复匹配的数据,"io_lsu_forward_mshr_0_valid,
io_lsu_forward_mshr_0_paddr,","io_lsu_forward_mshr_0_valid=1,
io_lsu_forward_mshr_0_paddr=min,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，paddr为min。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_0_valid,
io_lsu_forward_mshr_0_paddr,","io_lsu_forward_mshr_0_valid=1,
io_lsu_forward_mshr_0_paddr=min,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，paddr为rand。,Dcache向LoadUnit0回复匹配的数据,"io_lsu_forward_mshr_0_valid,
io_lsu_forward_mshr_0_paddr,","io_lsu_forward_mshr_0_valid=1,
io_lsu_forward_mshr_0_paddr=rand,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，paddr为rand。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_0_valid,
io_lsu_forward_mshr_0_paddr,","io_lsu_forward_mshr_0_valid=1,
io_lsu_forward_mshr_0_paddr=rand,",,,forward_req_gp,tc_dcache_forward,,,,
,,,D_mshrid,,,,,,,,,,,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，tilelink的D通道返回mshrid遍历0~15。,Dcache的D通道向LoadUnit0回复匹配的数据,"io_lsu_forward_D_0_valid;
io_lsu_forward_D_0_mshrid;","io_lsu_forward_D_0_valid-1,
io_lsu_forward_D_0_mshrid=0-15;",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit0向Dcache发来的数据前递请求有效，tilelink的D通道返回mshrid遍历0~15。,Dcache的D通道里面没有匹配的数据，前递失败,"io_lsu_forward_D_0_valid;
io_lsu_forward_D_0_mshrid;","io_lsu_forward_D_0_valid-1,
io_lsu_forward_D_0_mshrid=0-15;",,,forward_req_gp,tc_dcache_forward,,,,
,,LoadUnit1,,,,,,,,,,,,,,,
,,,mshr_mshrid,,,,,,,,,,,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，mshrid遍历0~15。,Dcache向LoadUnit1回复匹配的数据,"io_lsu_forward_mshr_1_valid,
io_lsu_forward_mshr_1_mshrid,","io_lsu_forward_mshr_1_valid=1,
io_lsu_forward_mshr_1_mshrid=0-15,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，mshrid遍历0~15。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_1_valid,
io_lsu_forward_mshr_1_mshrid,","io_lsu_forward_mshr_1_valid=1,
io_lsu_forward_mshr_1_mshrid=0-15,",,,forward_req_gp,tc_dcache_forward,,,,
,,,mshr_paddr,,,,,,,,,,,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，paddr为max。,Dcache向LoadUnit1回复匹配的数据,"io_lsu_forward_mshr_1_valid,
io_lsu_forward_mshr_1_paddr,","io_lsu_forward_mshr_1_valid=1,
io_lsu_forward_mshr_1_paddr=max,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，paddr为max。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_1_valid,
io_lsu_forward_mshr_1_paddr,","io_lsu_forward_mshr_1_valid=1,
io_lsu_forward_mshr_1_paddr=max,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，paddr为min。,Dcache向LoadUnit1回复匹配的数据,"io_lsu_forward_mshr_1_valid,
io_lsu_forward_mshr_1_paddr,","io_lsu_forward_mshr_1_valid=1,
io_lsu_forward_mshr_1_paddr=min,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，paddr为min。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_1_valid,
io_lsu_forward_mshr_1_paddr,","io_lsu_forward_mshr_1_valid=1,
io_lsu_forward_mshr_1_paddr=min,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，paddr为rand。,Dcache向LoadUnit1回复匹配的数据,"io_lsu_forward_mshr_1_valid,
io_lsu_forward_mshr_1_paddr,","io_lsu_forward_mshr_1_valid=1,
io_lsu_forward_mshr_1_paddr=rand,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，paddr为rand。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_1_valid,
io_lsu_forward_mshr_1_paddr,","io_lsu_forward_mshr_1_valid=1,
io_lsu_forward_mshr_1_paddr=rand,",,,forward_req_gp,tc_dcache_forward,,,,
,,,D_mshrid,,,,,,,,,,,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，tilelink的D通道返回mshrid遍历0~15。,Dcache的D通道向LoadUnit1回复匹配的数据,"io_lsu_forward_D_1_valid;
io_lsu_forward_D_1_mshrid;","io_lsu_forward_D_1_valid-1,
io_lsu_forward_D_1_mshrid=0-15;",,,forward_req_gp,,,,,
,,,,,,LoadUnit1向Dcache发来的数据前递请求有效，tilelink的D通道返回mshrid遍历0~15。,Dcache的D通道里面没有匹配的数据，前递失败,"io_lsu_forward_D_1_valid;
io_lsu_forward_D_1_mshrid;","io_lsu_forward_D_1_valid-1,
io_lsu_forward_D_1_mshrid=0-15;",,,forward_req_gp,,,,,
,,LoadUnit2,,,,,,,,,,,,,,,
,,,mshr_mshrid,,,,,,,,,,,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，mshrid遍历0~15。,Dcache向LoadUnit2回复匹配的数据,"io_lsu_forward_mshr_2_valid,
io_lsu_forward_mshr_2_mshrid,","io_lsu_forward_mshr_2_valid=1,
io_lsu_forward_mshr_2_mshrid=0-15,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，mshrid遍历0~15。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_2_valid,
io_lsu_forward_mshr_2_mshrid,","io_lsu_forward_mshr_2_valid=1,
io_lsu_forward_mshr_2_mshrid=0-15,",,,forward_req_gp,tc_dcache_forward,,,,
,,,mshr_paddr,,,,,,,,,,,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，paddr为max。,Dcache向LoadUnit2回复匹配的数据,"io_lsu_forward_mshr_2_valid,
io_lsu_forward_mshr_2_paddr,","io_lsu_forward_mshr_2_valid=1,
io_lsu_forward_mshr_2_paddr=max,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，paddr为max。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_2_valid,
io_lsu_forward_mshr_2_paddr,","io_lsu_forward_mshr_2_valid=1,
io_lsu_forward_mshr_2_paddr=max,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，paddr为min。,Dcache向LoadUnit2回复匹配的数据,"io_lsu_forward_mshr_2_valid,
io_lsu_forward_mshr_2_paddr,","io_lsu_forward_mshr_2_valid=1,
io_lsu_forward_mshr_2_paddr=min,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，paddr为min。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_2_valid,
io_lsu_forward_mshr_2_paddr,","io_lsu_forward_mshr_2_valid=1,
io_lsu_forward_mshr_2_paddr=min,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，paddr为rand。,Dcache向LoadUnit2回复匹配的数据,"io_lsu_forward_mshr_2_valid,
io_lsu_forward_mshr_2_paddr,","io_lsu_forward_mshr_2_valid=1,
io_lsu_forward_mshr_2_paddr=rand,",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，paddr为rand。,Dcache里面没有匹配的数据，前递失败,"io_lsu_forward_mshr_2_valid,
io_lsu_forward_mshr_2_paddr,","io_lsu_forward_mshr_2_valid=1,
io_lsu_forward_mshr_2_paddr=rand,",,,forward_req_gp,tc_dcache_forward,,,,
,,,D_mshrid,,,,,,,,,,,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，tilelink的D通道返回mshrid遍历0~15。,Dcache的D通道向LoadUnit2回复匹配的数据,"io_lsu_forward_D_2_valid;
io_lsu_forward_D_2_mshrid;","io_lsu_forward_D_2_valid-1,
io_lsu_forward_D_2_mshrid=0-15;",,,forward_req_gp,tc_dcache_forward,,,,
,,,,,,LoadUnit2向Dcache发来的数据前递请求有效，tilelink的D通道返回mshrid遍历0~15。,Dcache的D通道里面没有匹配的数据，前递失败,"io_lsu_forward_D_2_valid;
io_lsu_forward_D_2_mshrid;","io_lsu_forward_D_2_valid-1,
io_lsu_forward_D_2_mshrid=0-15;",,,forward_req_gp,tc_dcache_forward,,,,
9,cmo 请求  15,,,,,,,,,,,,,,,,
,,请求的握手信号valid/ready,,,,,,,,,,,,,,,
,,,,,,Dcache missQueue可接受cmo请求，LSU向Dcache发来的请求信号有效。,Dcache向L2cache发送正确信号；,"io_cmoOpReq_ready,
io_cmoOpReq_valid,","io_cmoOpReq_ready=1，
io_cmoOpReq_valid=1，",,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,Dcache missQueue不可接受cmo请求，LSU向Dcache发来的请求信号有效。,Dcache不会向L2cache发送正确信号；,"io_cmoOpReq_ready,
io_cmoOpReq_valid,","io_cmoOpReq_ready=0，
io_cmoOpReq_valid=1，",,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,Dcache missQueue可接受cmo请求，LSU向Dcache发来的请求信号无效。,Dcache不会向L2cache发送正确信号；,"io_cmoOpReq_ready,
io_cmoOpReq_valid,","io_cmoOpReq_ready=1，
io_cmoOpReq_valid=0，",,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,Dcache missQueue不可接受cmo请求，LSU向Dcache发来的请求信号无效。,Dcache不会向L2cache发送正确信号；,"io_cmoOpReq_ready,
io_cmoOpReq_valid,","io_cmoOpReq_ready=0，
io_cmoOpReq_valid=0，",,,misc_gp,tc_dcahce_cmo,,,,
,,响应的握手信号valid/ready,,,,,,,,,,,,,,,
,,,,,,Dcache missQueue可接受cmo响应请求，L2cache向Dcache发来的响应请求信号有效。,Dcache可接收L2cache发送的响应信号；,"io_cmoOpResp_ready,
io_cmoOpResp_valid,","io_cmoOpResp_ready=1，
io_cmoOpResp_valid=1，",,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,Dcache missQueue不可接受cmo响应请求，L2cache向Dcache发来的响应请求信号有效。,Dcache不可接收L2cache发送的响应信号；,"io_cmoOpResp_ready,
io_cmoOpResp_valid,","io_cmoOpResp_ready=0，
io_cmoOpResp_valid=1，",,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,Dcache missQueue可接受cmo响应请求，L2cache向Dcache发来的响应请求信号无效。,Dcache不可接收L2cache发送的响应信号；,"io_cmoOpResp_ready,
io_cmoOpResp_valid,","io_cmoOpResp_ready=1，
io_cmoOpResp_valid=0，",,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,Dcache missQueue不可接受cmo响应请求，L2cache向Dcache发来的响应请求信号无效。,Dcache不可接收L2cache发送的响应信号；,"io_cmoOpResp_ready,
io_cmoOpResp_valid,","io_cmoOpResp_ready=0，
io_cmoOpResp_valid=0，",,,misc_gp,tc_dcahce_cmo,,,,
,,opcode,,,,,,,,,,,,,,,
,,,,,,LSU向Dcache发送cmo请求，cmo_opcode=2,Tilelink a_opcode='hE发送给L2cache，返回d_opcode='h8,io_cmoOpResp_bits_opcode；,io_cmoOpReq_bits_opcode=’h2；,,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,LSU向Dcache发送cmo请求，cmo_opcode=1,Tilelink a_opcode='hD发送给L2cache，返回d_opcode='h8,io_cmoOpResp_bits_opcode；,io_cmoOpReq_bits_opcode=’h1；,,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,LSU向Dcache发送cmo请求，cmo_opcode=0,Tilelink a_opcode='hC发送给L2cache，返回d_opcode='h8,io_cmoOpResp_bits_opcode；,io_cmoOpReq_bits_opcode='h0；,,,misc_gp,tc_dcahce_cmo,,,,
,,address,,,,,,,,,,,,,,,
,,,,,,请求地址内容为min_addr,通过Tilelink a_address发送给L2cache,"io_cmoOpRsp_ready;
io_cmoOpReq_valid;
io_cmoOpResp_bits_address；","io_cmoOpRsp_ready=1，
io_cmoOpReq_valid=1，
io_cmoOpReq_bits_address=min_addr;",,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,请求地址内容为max_addr,通过Tilelink a_address发送给L2cache,"io_cmoOpRsp_ready;
io_cmoOpReq_valid;
io_cmoOpResp_bits_address；","io_cmoOpRsp_ready=1，
io_cmoOpReq_valid=1，
io_cmoOpReq_bits_address=max_addr;",,,misc_gp,tc_dcahce_cmo,,,,
,,,,,,请求地址内容为rand_addr,通过Tilelink a_address发送给L2cache,"io_cmoOpRsp_ready;
io_cmoOpReq_valid;
io_cmoOpResp_bits_address；","io_cmoOpRsp_ready=1，
io_cmoOpReq_valid=1，
io_cmoOpReq_bits_address=rand_addr;",,,misc_gp,tc_dcahce_cmo,,,,
10,时钟与复位  5,,,,,,,,,,,,,,,,
,,时钟,,,,,,,,,,,,,,,
,,,,,,时钟频率在正常范围,正常工作,,,,,,tc_dcache_clk,,,,
,,,,,,关闭时钟,不能正常工作,,,,,,tc_dcache_clk,,,,
,,复位,,,,,,,,,,,,,,,
,,,硬复位,,,,,,,,,,,,,,
,,,,,,硬复位rstn,可以正常复位,,,,,,tc_dcache_rst,,,,
,,,解复位,,,,,,,,,,,,,,
,,,,,,先复位，再解除复位,解复位后可以正常工作,,,,,,tc_dcache_rst,,,,
11,别名  1,,,,,,,,,,,,,,,,
,,,,,,L2Cache会维护DCache中保存的每个物理块对应别名位，发起Probe请求将DCache中原有的别名块Probe下来。,,,,,,tlca_gp,tc_dcache_alias,,,,
12,ECC  69,,,,,,,,,,,,,,,,
,,load请求 28,,,,,,,,,,,,,,,
,,,单个load请求  ,,,,,,,,,,,,,,
,,,,load0 tag,,,,,,,,,,,,,
,,,,,hit,,,,,,,,,,,,
,,,,,,Load Unit向LoadPipe0发送请求命中。但命中set部分（4路）都没有error，其他set部分注入tag error。,不报ecc error,"io_lsu_load_0_req_ready；
io_lsu_load_0_req_valid；
io_lsu_load_1_req_ready；
io_lsu_load_1_req_valid；
io_lsu_load_2_req_ready；
io_lsu_load_2_req_valid；
auto_cacheCtrlOpt_in_a_ready;
auto_cacheCtrlOpt_in_a_valid;
auto_cacheCtrlOpt_in_a_bits_data;","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,
auto_cacheCtrlOpt_in_a_ready=1,
auto_cacheCtrlOpt_in_a_valid=1,
auto_cacheCtrlOpt_in_a_bits_data[3]=0,",,,misc_gp,tc_dcache_ecc_load,,,,
,,,,,miss,,,,,,,,,,,,
,,,,,,Load Unit向LoadPipe0发来的请求miss。但是对应的set部分（4路）没有error，其他set行注入tag enter,报miss，不报ecc error,"io_lsu_load_0_req_ready；
io_lsu_load_0_req_valid；
io_lsu_load_1_req_ready；
io_lsu_load_1_req_valid；
io_lsu_load_2_req_ready；
io_lsu_load_2_req_valid；
auto_cacheCtrlOpt_in_a_ready;
auto_cacheCtrlOpt_in_a_valid;
auto_cacheCtrlOpt_in_a_bits_data;","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,
auto_cacheCtrlOpt_in_a_ready=1,
auto_cacheCtrlOpt_in_a_valid=1,
auto_cacheCtrlOpt_in_a_bits_data[3]=0,",,,misc_gp,tc_dcache_ecc_load,,,,
,,,,,,Load Unit向LoadPipe0发送请求。对应的set部分（4路）存在tag error。,报miss，mq_nack为1。向loadunit和l2 (BEU) 报 error，,"io_lsu_load_0_req_ready；
io_lsu_load_0_req_valid；
io_lsu_load_1_req_ready；
io_lsu_load_1_req_valid；
io_lsu_load_2_req_ready；
io_lsu_load_2_req_valid；
auto_cacheCtrlOpt_in_a_ready;
auto_cacheCtrlOpt_in_a_valid;
auto_cacheCtrlOpt_in_a_bits_data;","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,
auto_cacheCtrlOpt_in_a_ready=1,
auto_cacheCtrlOpt_in_a_valid=1,
auto_cacheCtrlOpt_in_a_bits_data[3]=0,",,,misc_gp,tc_dcache_ecc_load,,,,
,,,,load0 data,,,,,,,,,,,,,
,,,,,hit,,,,,,,,,,,,
,,,,,,Load Unit向LoadPipe0发送请求命中。且命中的cache line没有error，其他路注入data error,不报ecc error,"io_lsu_load_0_req_ready；
io_lsu_load_0_req_valid；
io_lsu_load_1_req_ready；
io_lsu_load_1_req_valid；
io_lsu_load_2_req_ready；
io_lsu_load_2_req_valid；
auto_cacheCtrlOpt_in_a_ready;
auto_cacheCtrlOpt_in_a_valid;
auto_cacheCtrlOpt_in_a_bits_data;","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,
auto_cacheCtrlOpt_in_a_ready=1,
auto_cacheCtrlOpt_in_a_valid=1,
auto_cacheCtrlOpt_in_a_bits_data[3]=1,",,,misc_gp,tc_dcache_ecc_load,,,,
,,,,,,Load Unit向LoadPipe0发送请求命中。且命中的cache line有data error，命中的bank（比如bank1)不注入ecc，其他bank部分任意注入ecc（比如bank4）,不报ecc error,"io_lsu_load_0_req_ready；
io_lsu_load_0_req_valid；
io_lsu_load_1_req_ready；
io_lsu_load_1_req_valid；
io_lsu_load_2_req_ready；
io_lsu_load_2_req_valid；
auto_cacheCtrlOpt_in_a_ready;
auto_cacheCtrlOpt_in_a_valid;
auto_cacheCtrlOpt_in_a_bits_data;","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,
auto_cacheCtrlOpt_in_a_ready=1,
auto_cacheCtrlOpt_in_a_valid=1,
auto_cacheCtrlOpt_in_a_bits_data[3]=1,",,,misc_gp,tc_dcache_ecc_load,,,,
